stu_id,strat_id,psu,bystuwt,byses1,bytxmstd,bytxrstd,f2ps1lvl,first_pei,byses1_decile_wtd,byses1_percentile,bytxmstd_quintile_wtd,bytxmstd_quintile,bytxrstd_quintile_wtd,bytxrstd_quintile,first_pei_4yr
256309,256,"PSU 3",513.5762,-1.1,41.91,43.64,.c,"no college",1,1,2,1,2,2,0
285128,285,"PSU 1",210.2628,-.99,43.16,30.95,.c,"no college",1,1,2,2,1,1,0
279110,279,"PSU 1",455.3009,-1.09,29.01,26.51,.c,"no college",1,1,1,1,1,1,0
187219,187,"PSU 2",267.6808,-1.09,45.32,49.43,"Four or more years","4-years or more",1,1,2,2,3,3,1
415203,415,"PSU 2",77.2658,-1.2,59.8,56.82,"Four or more years","4-years or more",1,1,5,5,4,4,1
102105,102,"PSU 1",239.9451,-1.04,37.78,30.7,.c,"no college",1,1,1,1,1,1,0
367105,367,"PSU 1",171.8561,-1.25,46.75,49.43,"Less than 2-years","less than 2-years",1,1,2,2,3,3,0
309215,309,"PSU 2",224.6372,-1.68,43.09,44.38,.c,"no college",1,1,2,2,2,2,0
210212,210,"PSU 2",205.4229,-1.06,60.12,53.5,.c,"no college",1,1,5,5,4,4,0
221202,221,"PSU 2",240.726,-1.09,51.86,60.15,"Four or more years","4-years or more",1,1,3,3,5,5,1
286117,286,"PSU 1",70.7899,-1.53,43.39,37.6,.d,.d,1,1,2,2,1,1,.d
290225,290,"PSU 2",19.1247,-1.04,34.6,37.85,.c,"no college",1,1,1,1,1,1,0
164118,164,"PSU 1",34.777,-1.35,32.63,26.02,.c,"no college",1,1,1,1,1,1,0
371117,371,"PSU 1",464.3245,-1.19,39.63,42.28,.c,"no college",1,1,1,1,2,2,0
165211,165,"PSU 2",254.8741,-1.35,34.5,41.79,"Four or more years","4-years or more",1,1,1,1,2,1,1
370212,370,"PSU 2",289.5983,-1.51,39.09,43.02,"Four or more years","4-years or more",1,1,1,1,2,2,1
220222,220,"PSU 2",240.2741,-1.01,41.68,48.57,.d,.d,1,1,2,1,3,3,.d
282215,282,"PSU 2",454.4148,-.98,36.05,27.49,"At least 2, but less than 4 years","2-years",1,1,1,1,1,1,0
233121,233,"PSU 1",421.3839,-1.02,34.05,29.1,.c,"no college",1,1,1,1,1,1,0
288127,288,"PSU 1",300.5453,-1.5,53.18,51.65,.d,.d,1,1,4,3,3,3,.d
344104,344,"PSU 1",317.3478,-1.18,58.9,64.83,"Four or more years","4-years or more",1,1,4,4,5,5,1
305229,305,"PSU 2",305.6527,-1.24,37.17,42.28,"At least 2, but less than 4 years","2-years",1,1,1,1,2,2,0
294204,294,"PSU 2",90.5551,-1.27,50.57,43.64,.d,.d,1,1,3,3,2,2,.d
349228,349,"PSU 2",174.975,-1.17,20.34,35.38,.c,"no college",1,1,1,1,1,1,0
286104,286,"PSU 1",70.7899,-1.55,59.1,36.98,"Four or more years","4-years or more",1,1,5,4,1,1,1
303122,303,"PSU 1",315.5418,-1.08,55.51,47.83,"At least 2, but less than 4 years","2-years",1,1,4,4,3,2,0
292221,292,"PSU 2",283.0746,-1.01,43.69,48.32,"Less than 2-years","less than 2-years",1,1,2,2,3,3,0
163215,163,"PSU 2",97.0986,-1.13,45.45,39.82,.c,"no college",1,1,2,2,1,1,0
372209,372,"PSU 2",328.5543,-1.43,47.1,58.67,.d,.d,1,1,2,2,4,4,.d
381213,381,"PSU 2",195.6584,-1.13,41.97,35.01,.c,"no college",1,1,2,1,1,1,0
260101,260,"PSU 1",567.3386,-1.01,43.76,31.93,.c,"no college",1,1,2,2,1,1,0
371119,371,"PSU 1",396.6249,-1.17,56.39,54.24,"Less than 2-years","less than 2-years",1,1,4,4,4,4,0
134112,134,"PSU 1",271.4724,-1.1,47.16,54.24,"Four or more years","4-years or more",1,1,2,2,4,4,1
168202,168,"PSU 2",162.4373,-1.2,40.73,44.38,.c,"no college",1,1,1,1,2,2,0
364217,364,"PSU 2",209.7598,-1.23,60.17,65.82,"At least 2, but less than 4 years","2-years",1,1,5,5,5,5,0
290216,290,"PSU 2",19.1247,-1.26,43.28,38.71,"Four or more years","4-years or more",1,1,2,2,1,1,1
145120,145,"PSU 1",111.1857,-1.44,42.08,40.68,.c,"no college",1,1,2,1,1,1,0
342206,342,"PSU 2",250.7038,-1.49,45.39,36.12,.d,.d,1,1,2,2,1,1,.d
204227,204,"PSU 2",96.1813,-1.27,40.29,38.83,.c,"no college",1,1,1,1,1,1,0
306122,306,"PSU 1",124.7508,-1.19,40.1,36.24,.c,"no college",1,1,1,1,1,1,0
263207,263,"PSU 2",286.4674,-1.52,32.93,43.51,.c,"no college",1,1,1,1,2,2,0
226124,226,"PSU 1",322.7633,-1.17,38.09,37.35,.c,"no college",1,1,1,1,1,1,0
331120,331,"PSU 1",327.7163,-1.02,38.54,48.2,.c,"no college",1,1,1,1,3,3,0
210214,210,"PSU 2",306.1441,-1.05,47.51,49.43,.c,"no college",1,1,2,2,3,3,0
381204,381,"PSU 2",197.2679,-1.25,47.61,47.58,.c,"no college",1,1,3,2,3,2,0
291217,291,"PSU 2",151.459,-1.17,29.35,32.42,.d,.d,1,1,1,1,1,1,.d
163102,163,"PSU 1",59.5666,-1.6,29.99,36.86,.c,"no college",1,1,1,1,1,1,0
304106,304,"PSU 1",90.8828,-1.14,58,47.09,"At least 2, but less than 4 years","2-years",1,1,4,4,2,2,0
374118,374,"PSU 1",209.431,-1.35,37.04,44.62,.c,"no college",1,1,1,1,2,2,0
232209,232,"PSU 2",303.2184,-1.45,37.42,29.34,"Four or more years","4-years or more",1,1,1,1,1,1,1
249115,249,"PSU 1",179.4245,-1.01,53.99,55.34,"Four or more years","4-years or more",1,1,4,4,4,4,1
281107,281,"PSU 1",437.0309,-.97,35.77,41.54,.c,"no college",1,1,1,1,2,1,0
330215,330,"PSU 2",294.3346,-1.3,39.62,38.22,.c,"no college",1,1,1,1,1,1,0
267231,267,"PSU 2",187.232,-1.69,37.63,55.71,"At least 2, but less than 4 years","2-years",1,1,1,1,4,4,0
359301,359,"PSU 3",442.4265,-1.24,43.52,34.15,.c,"no college",1,1,2,2,1,1,0
144107,144,"PSU 1",352.5163,-1.7,41.08,41.91,.c,"no college",1,1,1,1,2,2,0
